mol solvent,mol solute,with_sme,without_sme,attribution_data,normalized_attribution_data,substructure_smiles
CCCCCCCCC(=O)O,OCC,-3.571857948,-4.202443036,-0.6305852,-0.55845505,CCCCCCCCC(=O)O
CCCCCCCC(=O)O,OCC,-4.238066048,-4.340056353,-0.10199022,-0.10163805,C
CCCCCCCC(=O)O,OCC,-4.28867096,-4.340056353,-0.051385403,-0.05134023,C
CCCCCCCC(=O)O,OCC,-4.246576011,-4.340056353,-0.09348059,-0.09320926,C
CCCCCCCC(=O)O,OCC,-4.353615521,-4.340056353,0.013558865,0.0135580655,C
CCCCCCCC(=O)O,OCC,-4.172682484,-4.340056353,-0.16737413,-0.16582853,C
CCCCCCCC(=O)O,OCC,-4.20108638,-4.340056353,-0.1389699,-0.13808212,C
CCCCCCCC(=O)O,OCC,-4.134648783,-4.340056353,-0.20540762,-0.2025667,C
CCCCCCCC(=O)O,OCC,-4.132142681,-4.340056353,-0.20791388,-0.20496885,C
CCCCCCCC(=O)O,OCC,-4.25020222,-4.340056353,-0.08985424,-0.089613184,O
CCCCCCCC(=O)O,OCC,-4.359784834,-4.340056353,0.019728184,0.019725628,O
CCCCCCCC(=O)O,OCC,-3.666918281,-4.340056353,-0.67313814,-0.5870404,CCCCCCCC(=O)O
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.582242333,-3.678494135,-0.096251965,-0.09595582,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.675429829,-3.678494135,-0.003064394,-0.00306435,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.671174055,-3.678494135,-0.0073201656,-0.0073200297,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.700454373,-3.678494135,0.021960258,0.021956751,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.671174055,-3.678494135,-0.0073201656,-0.0073200297,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.656533896,-3.678494135,-0.021960258,-0.021956751,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.740222152,-3.678494135,0.061728,0.06164973,O
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.671174055,-3.678494135,-0.0073201656,-0.0073200297,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.700454373,-3.678494135,0.021960258,0.021956751,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.582242333,-3.678494135,-0.096251965,-0.09595582,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.582242333,-3.678494135,-0.096251965,-0.09595582,C
CC1(C2CCC(O1)(CC2)C)C ,OCC,-3.55602632,-3.678494135,-0.122467995,-0.121859394,CC12CCC(CC1)C(C)(C)O2
CCCCCCC(=O)O  ,OCC,-4.388023277,-4.496605512,-0.10858202,-0.1081573,C
CCCCCCC(=O)O  ,OCC,-4.39686388,-4.496605512,-0.09974146,-0.09941202,C
CCCCCCC(=O)O  ,OCC,-4.506036034,-4.496605512,0.0094304085,0.009430109,C
CCCCCCC(=O)O  ,OCC,-4.329211027,-4.496605512,-0.16739416,-0.16584796,C
CCCCCCC(=O)O  ,OCC,-4.315585784,-4.496605512,-0.18101978,-0.17906815,C
CCCCCCC(=O)O  ,OCC,-4.253861467,-4.496605512,-0.24274397,-0.23808587,C
CCCCCCC(=O)O  ,OCC,-4.242982839,-4.496605512,-0.25362253,-0.24832088,C
CCCCCCC(=O)O  ,OCC,-4.359850909,-4.496605512,-0.13675451,-0.13590829,O
CCCCCCC(=O)O  ,OCC,-4.550012278,-4.496605512,0.053406715,0.053355996,O
CCCCCCC(=O)O  ,OCC,-3.767426122,-4.496605512,-0.7291794,-0.62256306,CCCCCCC(=O)O
CCCCCCCCCC(=O)O ,OCC,-4.001847594,-4.094009603,-0.092161655,-0.091901615,C
CCCCCCCCCC(=O)O ,OCC,-4.064555904,-4.094009603,-0.029453278,-0.029444795,C
CCCCCCCCCC(=O)O ,OCC,-4.064688054,-4.094009603,-0.029321194,-0.029312765,C
CCCCCCCCCC(=O)O ,OCC,-4.081741281,-4.094009603,-0.012268066,-0.012267471,C
CCCCCCCCCC(=O)O ,OCC,-4.032575488,-4.094009603,-0.061433792,-0.061356623,C
